등록일자,조도2(0~255단계),조도4(0~255단계),조도6,누적전력량3(W),누적전력량4(W),누적전력량6(W)
2020-11-09 0:14,7,0.1,0.1,0,0,6
2020-11-09 0:14,33,1.9,4.2,1,100,47
2020-11-09 0:14,15,6.9,5.3,0,100,100
2020-11-09 0:14,9,5.6,5.6,0,29,29
2020-11-09 0:14,4,0.1,0.1,0,95,95
2020-11-09 0:14,23,6.5,5.2,0,100,100
2020-11-09 0:14,9,5.4,5.5,1,100,100
2020-11-09 0:14,9,0.4,0.4,0,100,100
2020-11-09 0:14,10,5.4,5.4,1,67,68
2020-11-09 0:16,13,0.9,0.9,0,94,94
2020-11-09 0:16,13,0.9,0.9,0,94,94
2020-11-09 0:16,13,0.9,0.9,0,94,94
2020-11-09 0:16,13,0.9,0.9,0,94,94
2020-11-09 0:16,13,0.9,0.9,0,94,94
2020-11-09 0:16,0,1.6,1.7,0,100,100
2020-11-09 0:16,13,0.9,0.9,0,94,94
2020-11-09 0:16,0,1.6,1.7,0,100,100
2020-11-09 0:16,0,1.6,1.7,0,100,100
2020-11-09 0:16,0,1.6,1.7,0,100,100
2020-11-09 0:16,12,12.2,13.9,1,93,93
2020-11-09 0:16,9,1.2,1.1,0,100,100
2020-11-09 0:16,9,1.2,1.1,0,100,100
2020-11-09 0:16,7,0,0,0,100,100
2020-11-09 0:16,9,0,0,0,100,100
2020-11-09 0:17,9,0,0,0,100,100
2020-11-09 0:17,NaN,0,0,0,39,42
2020-11-09 0:17,23,0,0,1,100,100
2020-11-09 0:17,11,0,0,0,100,100
2020-11-09 0:17,4,0,0,0,100,100
2020-11-09 0:17,21,7.2,8.1,0,100,100
2020-11-09 0:17,14,0,0,1,100,100
2020-11-09 0:17,10,0,0,0,100,100
2020-11-09 0:17,5,2.1,2.2,0,100,100
2020-11-09 0:17,10,5.9,6,0,100,100
2020-11-09 0:17,76,0,0,1,0,100
2020-11-09 0:17,68,0,0,1,57,60
2020-11-09 0:17,26,7.6,8,0,100,100
2020-11-09 0:17,53,21.4,0.1,1,100,100
2020-11-09 0:17,0,0,0,0,100,100
2020-11-09 0:17,47,1.8,2.6,0,100,100
2020-11-09 0:17,7,0,0,0,100,100
2020-11-09 0:17,70,0.4,0,0,100,100
2020-11-09 0:17,73,13.1,11.7,0,100,100
2020-11-09 0:17,14,2.8,2.9,1,100,100
2020-11-09 0:17,5,0,0,0,100,100
2020-11-09 0:17,6,0,0,0,100,100
2020-11-09 0:17,8,6.7,6.1,0,100,100
2020-11-09 0:17,64,2.3,2.2,1,0,100
2020-11-09 0:18,28,3.2,3.1,1,96,96
2020-11-09 0:18,4,0,0,0,100,100
2020-11-09 0:18,58,8.6,8.8,1,100,100
2020-11-09 0:18,66,8.7,8.1,0,100,100
2020-11-09 0:18,2,0,0,0,100,100
2020-11-09 0:18,14,0,0,1,100,100
2020-11-09 0:18,12,0,0,0,100,100
2020-11-09 0:18,7,0,0,0,96,96
2020-11-09 0:18,13,0,0,0,94,94
2020-11-09 0:18,9,0,0,0,100,100
2020-11-09 0:18,28,11.5,11.5,0,100,100
2020-11-09 0:19,28,0,0,1,90,90
2020-11-09 0:19,10,0.1,0.1,1,100,100
2020-11-09 0:19,15,0,0,0,100,100
2020-11-09 0:19,43,0,0,0,100,100
2020-11-09 0:19,0,1.6,1.5,0,68,68
2020-11-09 0:19,43,0,0,1,100,100
2020-11-09 0:19,8,0,0,0,100,100
2020-11-09 0:19,58,2,1.9,1,100,100
2020-11-09 0:19,5,0,0,0,100,100
2020-11-09 0:19,10,1.3,1.4,0,95,95
2020-11-09 0:20,12,4.3,6,1,100,100
2020-11-09 0:20,12,1.6,1.6,0,100,100
2020-11-09 0:20,76,18.4,22.6,1,100,95
2020-11-09 0:20,26,2.1,2.1,0,100,100
2020-11-09 0:20,9,0,0,0,100,100
2020-11-09 0:20,8,4.5,14.4,0,0,0
2020-11-09 0:21,2,0,0,0,100,100
2020-11-09 0:21,2,0,0,0,100,100
2020-11-09 0:21,53,9,9.7,1,83,73
2020-11-09 0:21,18,0.1,0.1,1,100,100
2020-11-09 0:21,4,31.1,37.4,0,0,0
2020-11-09 0:21,27,6.1,4.7,0,74,74
2020-11-09 0:21,58,32.2,11.2,1,100,100
2020-11-09 0:21,33,0,0,0,100,100
2020-11-09 0:21,12,10.7,10.7,0,29,29
2020-11-09 0:21,27,0.1,17.7,0,100,100
2020-11-09 0:22,9,0,0,0,100,100
2020-11-09 0:22,30,0.7,0.7,1,100,100
2020-11-09 0:22,2,0,0,0,100,100
2020-11-09 0:22,53,0,0,0,100,100
2020-11-09 0:22,7,0,0,0,0,0
2020-11-09 0:22,17,6.5,6.3,0,100,100
2020-11-09 0:22,22,2.5,0.4,1,100,100
2020-11-09 0:22,6,0,0,0,100,100
2020-11-09 0:22,6,14.5,14.6,0,72,100
2020-11-09 0:22,14,5.4,5.3,0,100,100
2020-11-09 0:22,8,0,0,0,100,100
2020-11-09 0:22,10,5.9,6.8,0,100,100
2020-11-09 0:23,17,0,0,0,100,100
2020-11-09 0:23,23,2.5,5.4,1,100,100
2020-11-09 0:23,6,0,0,0,100,100
2020-11-09 0:23,3,0.1,0.1,0,100,100
2020-11-09 0:23,17,0,0,0,100,100
2020-11-09 0:23,13,0,0,0,100,100
2020-11-09 0:23,11,0.2,0.2,1,100,100
2020-11-09 0:23,15,5,5,1,0,100
2020-11-09 0:23,9,0,0,0,100,100
2020-11-09 0:23,74,14.1,2.2,1,100,100
2020-11-09 0:23,13,1.5,1.5,0,100,100
2020-11-09 0:23,7,0,0,0,100,100
2020-11-09 0:23,6,0,0,0,100,100
2020-11-09 0:23,1,3.5,5.8,0,100,100
2020-11-09 0:23,2,0,0,0,100,100
2020-11-09 0:24,11,9.3,5.5,1,100,100
2020-11-09 0:24,4,0,0,0,100,100
2020-11-09 0:24,8,0,0,0,100,100
2020-11-09 0:24,0,0,0,0,88,88
2020-11-09 0:24,6,10.8,11.1,0,100,100
2020-11-09 0:24,7,2.4,2.4,0,94,96
2020-11-09 0:24,2,0.1,0.1,0,100,98
2020-11-09 0:24,59,0,0,0,100,84
2020-11-09 0:24,9,0.2,0.2,1,25,100
2020-11-09 0:24,3,0,0,0,0,100
2020-11-09 0:24,18,0,0,0,100,100
2020-11-09 0:25,4,0,0,0,1,0
2020-11-09 0:25,5,3.7,3.7,0,100,100
2020-11-09 0:25,3,5.3,5.4,0,76,76
2020-11-09 0:25,7,4.9,4.2,0,80,100
2020-11-09 0:25,17,0,0,1,100,100
2020-11-09 0:25,99,1.3,1.3,1,100,100
2020-11-09 0:25,11,0.5,0.5,0,100,100
2020-11-09 0:25,6,0,0,0,0,0
2020-11-09 0:25,22,9.4,9.4,1,100,100
2020-11-09 0:26,29,0,0,0,100,100
2020-11-09 0:26,11,1,1.1,1,100,100
2020-11-09 0:26,1,3.9,0,0,100,100
2020-11-09 0:26,60,20.2,12.2,1,100,100
2020-11-09 0:26,3,6.7,6.9,0,87,87
2020-11-09 0:26,19,6,5.9,0,100,100
2020-11-09 0:26,12,0.1,0.1,1,100,100
2020-11-09 0:26,6,0,0,0,100,100
2020-11-09 0:26,7,6.5,6.5,0,84,84
2020-11-09 0:26,2,4,4,0,96,96
2020-11-09 0:26,7,0,0,0,100,100
2020-11-09 0:26,11,8.5,8.2,0,0,0
2020-11-09 0:26,3,0,0,0,100,100
2020-11-09 0:26,2,0.1,0.1,1,100,100
2020-11-09 0:26,35,3.2,3.3,0,100,100
2020-11-09 0:27,12,0,0,0,100,100
2020-11-09 0:27,68,8.5,7.9,1,100,100
2020-11-09 0:27,11,2.1,2.1,0,100,100
2020-11-09 0:27,23,0,0,0,98,98
2020-11-09 0:27,9,0,0,0,100,100
2020-11-09 0:27,15,3.8,3.7,0,0,0
2020-11-09 0:27,9,0,0,0,100,100
2020-11-09 0:27,14,0,0,1,100,100
2020-11-09 0:27,26,5.9,5.3,1,100,100
2020-11-09 0:27,7,1.1,1.1,1,11,11
2020-11-09 0:27,7,0,0,0,100,100
2020-11-09 0:27,NaN,0,0,0,100,100
2020-11-09 0:27,3,4.6,4.5,0,42,40
2020-11-09 0:27,1,0.1,0.1,0,100,100
2020-11-09 0:28,5,5.9,5.9,0,100,100
2020-11-09 0:28,6,9.3,9.4,0,100,100
2020-11-09 0:28,74,0,0,1,0,0
2020-11-09 0:28,11,0,0,0,100,100
2020-11-09 0:28,1,0,0,0,100,100
2020-11-09 0:28,43,42.5,13.2,0,100,100
2020-11-09 0:28,22,0,15.8,1,100,100
2020-11-09 0:28,30,0,0,1,100,100
2020-11-09 0:28,8,0,0,0,100,100
2020-11-09 0:28,17,0,0,0,100,100
2020-11-09 0:28,25,8.5,5,1,100,100
2020-11-09 0:28,11,0,0,0,100,100
2020-11-09 0:28,6,0,0,0,100,100
2020-11-09 0:29,25,0,13.9,1,100,100
2020-11-09 0:29,8,0.1,0.1,0,100,100
2020-11-09 0:29,9,0,0,0,100,100
2020-11-09 0:29,6,0,0,0,100,100
2020-11-09 0:30,16,0,0,0,100,100
2020-11-09 0:30,2,0,0,0,100,100
2020-11-09 0:30,17,21.2,21.1,1,100,100
2020-11-09 0:30,47,13.3,2.2,1,0,100
2020-11-09 0:30,11,0.8,0.7,0,98,100
2020-11-09 0:30,58,22,22,0,100,100
2020-11-09 0:30,14,3.2,3.2,1,100,100
2020-11-09 0:30,10,1.1,1.2,0,100,100
2020-11-09 0:30,22,7.6,7.6,1,100,100
2020-11-09 0:30,19,0.2,0.2,0,100,100
2020-11-09 0:30,0,1.6,1.6,0,76,76
2020-11-09 0:30,4,3.2,3.2,0,100,100
2020-11-09 0:30,6,1.4,1.3,0,100,100
2020-11-09 0:31,12,11.3,11.3,0,100,100
2020-11-09 0:31,8,1.4,1.3,0,100,100
2020-11-09 0:31,10,0.5,0.4,0,100,100
2020-11-09 0:31,62,3.4,3.4,1,53,100
2020-11-09 0:31,12,11.2,11.6,0,100,100
2020-11-09 0:31,6,0,0,0,100,100
2020-11-09 0:31,15,0,0,0,100,100
2020-11-09 0:31,1,0,0,0,96,96
2020-11-09 0:31,5,0,0,0,100,100
2020-11-09 0:31,5,0,0,1,71,71
2020-11-09 0:31,7,0.2,0.2,0,100,100
2020-11-09 0:31,30,0,0,0,35,35
2020-11-09 0:31,13,0,0,0,100,100
2020-11-09 0:31,11,6.9,7.2,0,100,100
2020-11-09 0:31,14,6.9,7.1,0,100,100
2020-11-09 0:31,98,53.4,53.4,1,100,100
2020-11-09 0:31,3,0,0,0,100,100
2020-11-09 0:32,10,2.4,2.3,0,100,100
2020-11-09 0:32,26,1.6,1.6,0,79,70
2020-11-09 0:32,6,0,0,0,100,100
2020-11-09 0:32,54,0.1,0.1,0,77,78
2020-11-09 0:32,22,0,0,0,100,100
2020-11-09 0:32,16,0,0,0,100,100
2020-11-09 0:32,17,0,0,0,100,100
2020-11-09 0:32,25,0,0,0,100,100
2020-11-09 0:32,10,0,0,1,100,100
2020-11-09 0:32,2,0,0,0,98,98
2020-11-09 0:32,15,0,0,1,100,100
2020-11-09 0:32,2,0,0,0,100,100
2020-11-09 0:32,16,5,5.1,0,54,54
2020-11-09 0:32,6,0,0,0,100,100
2020-11-09 0:32,70,20.1,19.3,1,100,100
2020-11-09 0:33,4,0.1,0.1,1,100,79
2020-11-09 0:33,NaN,0,0,0,100,100
2020-11-09 0:33,20,0.4,0.4,0,100,100
2020-11-09 0:33,7,11.2,11.1,1,100,100
2020-11-09 0:33,13,6.7,0,1,100,100
2020-11-09 0:33,0,0.1,0.1,0,100,100
2020-11-09 0:33,28,0,0,0,100,100
2020-11-09 0:33,3,0,0,0,100,100
2020-11-09 0:33,7,0,0,0,100,100
2020-11-09 0:33,7,0,0,0,100,100
2020-11-09 0:33,59,0,0,1,100,100
2020-11-09 0:33,8,6.2,6,0,100,100
2020-11-09 0:34,74,10.3,17.7,1,7,7
2020-11-09 0:34,4,6.3,6.3,0,100,100
2020-11-09 0:34,3,0,0,0,100,100
2020-11-09 0:34,9,0,0,0,89,89
2020-11-09 0:34,5,1.4,1.4,0,100,100
2020-11-09 0:34,16,7.3,7.4,0,100,100
2020-11-09 0:34,0,0,0,0,100,100
2020-11-09 0:34,12,0,0,0,32,33
2020-11-09 0:34,50,13.5,0.7,1,100,100
2020-11-09 0:34,11,10.3,10.2,0,100,100
2020-11-09 0:34,6,0,0,1,100,100
2020-11-09 0:34,10,0,0,0,100,100
2020-11-09 0:34,10,0,0,1,0,0
2020-11-09 0:34,32,0.4,0.4,0,100,100
2020-11-09 0:34,46,0.1,0.1,0,100,100
2020-11-09 0:35,2,0.2,0.2,0,100,100
2020-11-09 0:35,22,6,4.3,0,100,100
2020-11-09 0:35,30,0.1,6.3,0,0,100
2020-11-09 0:35,13,5.6,6,0,100,100
2020-11-09 0:35,9,4.8,5.5,0,54,55
2020-11-09 0:35,11,0,0,0,100,100
2020-11-09 0:35,17,4.2,0,1,95,97
2020-11-09 0:35,23,41.4,38.8,1,0,100
2020-11-09 0:35,10,0.1,0.1,0,100,100
2020-11-09 0:35,47,1.8,1.8,0,100,100
2020-11-09 0:35,42,0,0,0,100,100
2020-11-09 0:35,20,1.7,1.7,0,100,100
2020-11-09 0:35,16,0,0,0,100,100
2020-11-09 0:35,1,0,0,0,100,100
2020-11-09 0:35,74,0.3,0.3,0,100,100
2020-11-09 0:35,NaN,0,0,0,100,100
2020-11-09 0:36,8,0,0,0,43,43
2020-11-09 0:36,9,9.5,9.5,0,39,100
2020-11-09 0:36,11,1.9,1.6,0,100,100
2020-11-09 0:36,6,4.6,4.7,0,0,100
2020-11-09 0:36,NaN,0,0,0,100,100
2020-11-09 0:36,23,15.5,15.4,0,100,100
2020-11-09 0:36,12,7.9,5.8,0,64,65
2020-11-09 0:36,4,0,0,0,100,100
2020-11-09 0:36,10,8.9,0,0,100,100
2020-11-09 0:36,28,0,0,0,100,100
2020-11-09 0:36,10,0,0,0,100,100
2020-11-09 0:36,21,12.1,12,1,0,0
2020-11-09 0:36,7,0,0,0,100,100
2020-11-09 0:37,2,0,0,0,96,96
2020-11-09 0:37,16,0,0,0,100,100
2020-11-09 0:37,38,0.9,0.2,1,80,100
2020-11-09 0:37,19,1.7,1.7,0,100,100
2020-11-09 0:37,4,0,0,0,100,100
2020-11-09 0:37,6,0,0,0,100,100
2020-11-09 0:37,9,0,0,0,100,100
2020-11-09 0:38,19,13.3,13.2,0,100,100
2020-11-09 0:38,60,0.1,0.1,1,100,100
2020-11-09 0:38,16,29.9,30,0,100,100
2020-11-09 0:38,7,2.5,2.5,0,100,100
2020-11-09 0:38,5,0,0,0,100,100
2020-11-09 0:38,35,5.6,3.5,1,100,100
2020-11-09 0:38,12,0,0,0,100,100
2020-11-09 0:38,14,0,0,0,35,35
2020-11-09 0:38,11,4.2,3.1,1,100,100
2020-11-09 0:38,10,7.8,7.7,1,69,69
2020-11-09 0:38,43,2,1.5,0,100,100
2020-11-09 0:38,20,0,0,0,0,0
2020-11-09 0:39,40,0,0,1,97,97
2020-11-09 0:39,60,0,3.8,1,100,100
2020-11-09 0:39,8,5.7,5.6,0,100,100
2020-11-09 0:39,19,0,0,0,28,28
2020-11-09 0:39,1,0,0,0,100,100
2020-11-09 0:39,47,0,0,0,100,100
2020-11-09 0:39,16,0,0,0,100,100
2020-11-09 0:39,7,0,0,0,100,100
2020-11-09 0:39,17,0,0,0,100,100
2020-11-09 0:39,10,25.1,34.2,0,100,100
2020-11-09 0:39,8,0,0,1,85,91
2020-11-09 0:40,11,0,0,1,100,100
2020-11-09 0:40,17,0,0,0,100,100
2020-11-09 0:40,4,4.5,4.5,0,87,87
2020-11-09 0:40,25,4.1,4.2,0,84,100
2020-11-09 0:40,26,15.6,15.6,1,100,100
2020-11-09 0:40,13,0,0,0,95,100
2020-11-09 0:40,1,0,0,0,100,100
2020-11-09 0:40,30,0,8.4,1,98,100
2020-11-09 0:41,1,6.9,6.7,1,20,20
2020-11-09 0:41,5,5,5,0,25,27
2020-11-09 0:41,20,0.1,0.1,0,100,100
2020-11-09 0:41,2,0,0,0,86,86
2020-11-09 0:41,7,0,0,0,100,100
2020-11-09 0:41,7,7.6,7.8,1,100,100
2020-11-09 0:41,5,0,0,0,100,100
2020-11-09 0:41,1,0,0,0,100,100
2020-11-09 0:41,26,28,27.6,1,100,33
2020-11-09 0:41,9,0,0,0,100,100
2020-11-09 0:41,62,0,0,0,45,45
2020-11-09 0:42,27,0,0,0,100,100
2020-11-09 0:42,3,0,0,0,100,100
2020-11-09 0:42,15,0,0,1,0,100
2020-11-09 0:42,13,0,0,1,100,100
2020-11-09 0:42,24,0,0,0,100,100
2020-11-09 0:42,5,0,0,0,100,100
2020-11-09 0:42,13,0,0,1,0,0
2020-11-09 0:43,67,0,0,0,100,100
2020-11-09 0:43,NaN,0,0,0,100,100
2020-11-09 0:43,3,1.4,1.4,0,100,100
2020-11-09 0:43,7,0,0,0,5,5
2020-11-09 0:43,17,0,0,0,100,100
2020-11-09 0:43,9,0.3,0.3,0,0,0
2020-11-09 0:43,18,21.4,21.5,1,100,100
2020-11-09 0:43,54,15.4,1.9,0,94,94
2020-11-09 0:43,5,0,0,0,100,100
2020-11-09 0:43,0,2,2,1,100,100
2020-11-09 0:43,28,0,0,0,100,100
2020-11-09 0:43,22,29.8,29.8,0,100,100
2020-11-09 0:43,6,1.7,2,0,100,96
2020-11-09 0:44,22,0,0,0,20,21
2020-11-09 0:44,48,0,0,1,7,100
2020-11-09 0:44,14,0,0,0,100,100
2020-11-09 0:44,62,8.4,3.6,0,100,100
2020-11-09 0:44,7,0,0,1,35,35
2020-11-09 0:44,28,7.4,7.2,1,100,100
2020-11-09 0:44,64,10.3,10.2,0,48,47
2020-11-09 0:44,28,0,0,1,100,100
2020-11-09 0:44,9,0.6,0.8,0,31,31
2020-11-09 0:44,10,0.1,0.1,0,100,100
2020-11-09 0:44,3,6,0,1,79,100
2020-11-09 0:44,17,0,0,0,82,82
2020-11-09 0:45,13,0,0,0,100,100
2020-11-09 0:45,18,0.2,0.2,0,100,100
2020-11-09 0:45,16,0,0,0,100,100
2020-11-09 0:45,2,1.5,1.5,0,100,100
2020-11-09 0:45,7,0,0,0,100,100
2020-11-09 0:45,10,0,0,1,100,100
2020-11-09 0:45,6,1.5,1.5,0,100,100
2020-11-09 0:45,6,1.3,1.3,1,0,100
2020-11-09 0:45,64,7.3,2.8,0,100,100
2020-11-09 0:45,27,0,0,0,69,69
2020-11-09 0:46,9,2.3,2.3,0,100,100
2020-11-09 0:46,24,4.3,4.2,1,36,100
2020-11-09 0:46,4,22.3,22.2,0,39,38
2020-11-09 0:46,21,10.2,10.2,1,100,100
2020-11-09 0:46,9,12.4,12.2,1,6,5
2020-11-09 0:46,9,0,0,1,100,100
2020-11-09 0:46,21,3.5,3.5,1,100,100
2020-11-09 0:46,7,5.3,4.6,0,100,100
2020-11-09 0:46,3,0,0,0,100,100
2020-11-09 0:46,22,4.8,5.9,0,100,100
2020-11-09 0:46,88,0,0,1,56,45
2020-11-09 0:46,3,0,0,0,92,93
2020-11-09 0:46,17,0,0,0,100,100
2020-11-09 0:46,7,3.1,3.2,0,100,100
2020-11-09 0:46,54,0,0,0,100,100
2020-11-09 0:46,7,0,0,0,100,100
2020-11-09 0:46,7,0,0,1,6,100
2020-11-09 0:47,12,0,0,0,100,100
2020-11-09 0:47,7,7.6,7.7,0,89,89
2020-11-09 0:47,0,1.3,1.3,0,100,100
2020-11-09 0:47,8,11.9,11.8,0,100,100
2020-11-09 0:47,13,0,0,1,100,100
2020-11-09 0:47,15,0.1,0.1,1,100,100
2020-11-09 0:47,10,30.6,29.4,0,100,100
2020-11-09 0:47,16,14.3,4.4,1,78,100
2020-11-09 0:47,9,0,0,0,0,0
2020-11-09 0:47,49,0.1,16.9,1,100,100
2020-11-09 0:47,6,0,0,0,100,100
2020-11-09 0:47,19,0.6,0.5,0,100,100
2020-11-09 0:47,40,6,0,1,100,100
2020-11-09 0:47,12,0,0,0,100,100
2020-11-09 0:47,11,1.5,1.5,0,100,100
2020-11-09 0:47,62,4.2,4.1,1,100,100
2020-11-09 0:47,14,4.6,4.6,0,64,64
2020-11-09 0:47,19,10.6,10.8,0,100,100
2020-11-09 0:47,30,0,0,1,100,100
2020-11-09 0:47,17,0,0,0,100,100
2020-11-09 0:48,6,0,0,0,100,100
2020-11-09 0:48,20,0.2,0.2,0,100,100
2020-11-09 0:48,53,0,0,0,100,100
2020-11-09 0:48,2,0,0,0,100,100
2020-11-09 0:48,6,8.9,9,0,100,100
2020-11-09 0:48,10,0,0,0,100,100
2020-11-09 0:48,46,1.9,9.4,0,100,100
2020-11-09 0:48,31,17.7,17.8,0,0,100
2020-11-09 0:48,4,0,0,0,100,100
2020-11-09 0:48,58,24.3,2.5,0,100,100
2020-11-09 0:48,6,0.3,0.4,0,100,100
2020-11-09 0:48,47,1.5,1.4,0,100,100
